cz_id,pgm_dtm,pgm_start,pgm_stop,title,herh_van,cz_id_herh
515019,20190718,13,14,"Geen dag zonder Bach",20190711_13,515017
515806,20190718,14,16,"Concertzender Live",-,-
515810,20190718,16,17,"Componist van de Maand",-,-
515083,20190718,17,18,Chanson,20190713_13,515081
515095,20190718,18,19,"Moanin’ the Blues",20190713_16,515093
515814,20190718,19,20,"Klassieke Zaken",-,-
515818,20190718,20,21,"De Vorige Eeuw",-,-
515822,20190718,21,22,Sonoor,-,-
515826,20190718,22,23,"Terra Incognita",-,-
515830,20190718,23,00,Pakrammel,-,-
515103,20190719,00,01,"Vocale Jazz",20190713_18,515101
515195,20190719,01,02,"De Modernen",20190715_22,515193
515828,20190719,02,03,"Terra Incognita",20190718_22,515826
515119,20190719,03,04,"The Art of the Improvisers",20190713_23,515117
515205,20190719,04,05,"Opera in de 20ste eeuw",20190716_17,515203
515133,20190719,05,06,"Radio Monalisa",20190714_12,515131
515209,20190719,06,07,"Missa etcetera",20190716_18,515207
515834,20190719,07,10,Ochtendeditie,-,-
515227,20190719,10,12,"Concertzender Actueel",20190717_14,515225
515035,20190719,12,13,Sonoor,20190711_21,515033
515047,20190719,13,14,"Geen dag zonder Bach",20190712_13,515045
515838,20190719,14,16,"Concertzender Live",-,-
515842,20190719,16,17,"Componist van de Maand",-,-
515153,20190719,17,18,Bijdetijds,20190714_17,515151
515107,20190719,18,19,"Musicians Corner",20151214_22,323335
515846,20190719,19,20,"Oriënt Express",-,-
515850,20190719,20,21,"El Mundo",20190705_20,513346
515854,20190719,21,22,"Acoustic Roots",-,-
515858,20190719,22,23,"Tango Fusión",-,-
515862,20190719,23,00,"Wereldmuziek Club",-,-
515059,20190720,00,01,Disc-Cover!,20190712_20,515057
515394,20190720,01,07,"De Nacht: Wereld",20190713_01,515392
515864,20190720,07,10,Ochtendeditie,-,-
515868,20190720,10,11,"Zwerven door de Barok",-,-
515221,20190720,11,12,"Tussen droom en daad",20190716_21,515219
515872,20190720,12,13,"The Sound of Movies",-,-
515876,20190720,13,14,Chanson,-,-
515880,20190720,14,15,"Concertzender Live",-,-
515884,20190720,15,16,"Duke Ellington",-,-
515888,20190720,16,17,"Groove &amp; Grease",-,-
515892,20190720,17,18,"House of Hard Bop",-,-
515896,20190720,18,19,"Spinning the Blues",-,-
515900,20190720,19,20,"Holland Jazz",-,-
515904,20190720,20,21,"Het Paleis van de Weemoed",-,-
515199,20190720,21,22,"Front Runnin’",20190715_23,515197
515908,20190720,22,23,JazzNotJazz,-,-
