cz_id,pgm_dtm,pgm_start,pgm_stop,title,herh_van,cz_id_herh
515912,20190720,23,00,"The Art of the Improvisers",-,-
515894,20190721,00,01,"House of Hard Bop",20190720_17,515892
515191,20190721,01,03,"Concertzender Live",20190715_20,515189
515137,20190721,03,04,"Paul Korenhofs Opera Actueel",20190714_13,515135
515398,20190721,04,07,"De Nacht: Klassiek",20190714_04,515396
515916,20190721,07,10,Ochtendeditie,-,-
515920,20190721,10,11,Madge-point,-,-
515925,20190721,11,12,"Sound the Trumpet, Strike the Viol!",-,-
515929,20190721,12,13,"Radio Monalisa",-,-
515933,20190721,13,14,"Paul Korenhofs Opera Actueel",-,-
515937,20190721,14,15,"Het Strijkkwartet",-,-
515941,20190721,15,16,"Early Delights",-,-
515945,20190721,16,17,Documento,-,-
515949,20190721,17,18,Bijdetijds,-,-
515953,20190721,18,19,"Folk It!",-,-
515957,20190721,19,20,Sensenta,-,-
515961,20190721,20,21,"Space Exposure",-,-
515965,20190721,21,23,X-Rated,-,-
515969,20190721,23,00,X-Ray,-,-
515973,20190722,00,01,"Dr. Klangendum",-,-
515832,20190722,01,02,Pakrammel,20190718_23,515830
515241,20190722,02,03,"Electronic Frequencies",20190717_22,515239
515169,20190722,03,05,X-Rated,20190714_21,515167
515179,20190722,05,06,"Framework 1",20190715_05,515177
515183,20190722,06,07,"Framework 2",20190715_06,515181
515975,20190722,07,10,Ochtendeditie,-,-
515027,20190722,10,11,"Onbekend is Onbemind?",20190711_19,515025
515217,20190722,11,12,"Radio Romantica",20190716_20,515215
515031,20190722,12,13,"De Vorige Eeuw",20190711_20,515029
515979,20190722,13,14,"Geen Dag zonder Bach",-,-
515808,20190722,14,16,"Concertzender Live",20190718_14,515806
515983,20190722,16,17,"Componist van de Maand",-,-
515233,20190722,17,18,"De Muzikant",20190717_20,515231
515237,20190722,18,19,"Door de Mazen van het Net",20190717_21,515235
515987,20190722,19,20,"Nuove Musiche",-,-
515991,20190722,20,22,"Concertzender Live",-,-
515995,20190722,22,23,"American Highways",-,-
515999,20190722,23,00,"Front Runnin’",-,-
515910,20190723,00,01,JazzNotJazz,20190720_22,515908
515402,20190723,01,07,"De Nacht: Klassiek",20190716_01,515400
516003,20190723,07,10,Ochtendeditie,-,-
515111,20190723,10,11,"Het Paleis van de Weemoed",20190713_20,515109
515187,20190723,11,12,"Nuove Musiche",20190715_19,515185
515075,20190723,12,13,"Zwerven door de Barok",20190713_10,515073
516007,20190723,13,14,"Geen Dag zonder Bach",-,-
515840,20190723,14,16,"Concertzender Live",20190719_14,515838
516011,20190723,16,17,"Componist van de Maand",-,-
516015,20190723,17,18,"Opera in de 20ste eeuw",-,-
516019,20190723,18,19,"Missa Etcetera",-,-
516023,20190723,19,20,"De wandeling",-,-
516027,20190723,20,21,"Radio Romantica",-,-
516031,20190723,21,22,"Tussen droom en daad",-,-
515161,20190723,22,23,Sensenta,20190714_19,515159
515055,20190723,23,00,"Oriënt Express",20190712_19,515053
515860,20190724,00,01,"Tango Fusión",20190719_22,515858
515882,20190724,01,02,"Concertzender Live",20190720_14,515880
515063,20190724,02,03,"De Zwervende Microfoon",20190712_21,515061
515406,20190724,03,07,"De Nacht: Klassiek",20190717_03,515404
516035,20190724,07,10,Ochtendeditie,-,-
515145,20190724,10,11,"L’Esprit Baroque",20190714_15,515143
515939,20190724,11,12,"Het Strijkkwartet",20190721_14,515937
515927,20190724,12,13,"Sound the Trumpet, Strike the Viol!",20190721_11,515925
516039,20190724,13,14,"Geen Dag zonder Bach",-,-
516043,20190724,14,16,"Concertzender Actueel",-,-
516047,20190724,16,17,"Componist van de Maand",-,-
515874,20190724,17,18,"The Sound of Movies",20190720_12,515872
515886,20190724,18,19,"Duke Ellington",20190720_15,515884
516051,20190724,19,20,"Kroniek van de Nederlandse Muziek",-,-
516053,20190724,20,22,Thema,-,-
516057,20190724,22,23,"Electronic Frequencies",-,-
515955,20190724,23,00,"Folk It!",20190721_18,515953
515963,20190725,00,01,"Space Exposure",20190721_20,515961
515971,20190725,01,02,X-Ray,20190721_23,515969
515410,20190725,02,07,"De Nacht: Hedendaags",20190718_02,515408
516061,20190725,07,10,Ochtendeditie,-,-
515213,20190725,10,11,"De wandeling",20190716_19,515211
515922,20190725,11,12,Madge-point,20190721_10,515920
515149,20190725,12,13,Orgelwerk,20190714_16,515147
