cz_id,pgm_dtm,pgm_start,pgm_stop,title,herh_van,cz_id_herh
515211,20190716,19,20,"De wandeling",-,-
515215,20190716,20,21,"Radio Romantica",-,-
515219,20190716,21,22,"Tussen droom en daad",-,-
513462,20190716,22,23,Sensenta,20190707_19,513460
513344,20190716,23,00,"Oriënt Express",20190705_19,513342
515067,20190717,00,01,Wereldmineralen,20190712_22,515065
515087,20190717,01,02,"Concertzender Live",20190713_14,515085
513352,20190717,02,03,"Exitos Musicales",20190705_21,513350
515404,20190717,03,07,"De Nacht: Klassiek",-,-
513543,20190717,07,10,Ochtendeditie,20190710_07,513541
513446,20190717,10,11,"De Tuin van Oud",20190707_15,513444
515141,20190717,11,12,"Het Strijkkwartet",20190714_14,515139
515129,20190717,12,13,"Die sanck een Liedt",20190714_11,515127
513547,20190717,13,14,"Geen Dag zonder Bach",20190710_13,513545
515225,20190717,14,16,"Concertzender Actueel",-,-
514672,20190717,16,17,"Componist van de maand",20190710_16,514670
515079,20190717,17,18,"The Sound of Movies",20190713_12,515077
515091,20190717,18,19,"Three of a Kind",20190713_15,515089
515229,20190717,19,20,"Kroniek van de Nederlandse Muziek",-,-
515231,20190717,20,21,"De Muzikant",-,-
515235,20190717,21,22,"Door de Mazen van het Net",-,-
515239,20190717,22,23,"Electronic Frequencies",-,-
515157,20190717,23,00,"Folk It!",20190714_18,515155
515165,20190718,00,01,DreamScenes,20190714_20,515163
515173,20190718,01,02,X-Ray,20190714_23,515171
515408,20190718,02,07,"De Nacht: Hedendaags",-,-
513570,20190718,07,10,Ochtendeditie,20190711_07,513568
513525,20190718,10,11,"De wandeling",20190709_19,513523
515125,20190718,11,12,"Het pianoatelier",20190714_10,515123
513450,20190718,12,13,Documento,20190707_16,513448
515019,20190718,13,14,"Geen Dag zonder Bach",20190711_13,515017
515806,20190718,14,16,"Concertzender Live",-,-
515810,20190718,16,17,"Componist van de Maand",-,-
515083,20190718,17,18,Chanson,20190713_13,515081
515095,20190718,18,19,"Moanin’ the Blues",20190713_16,515093
515814,20190718,19,20,"Klassieke Zaken",-,-
515818,20190718,20,21,"De Vorige Eeuw",-,-
515822,20190718,21,22,Sonoor,-,-
515826,20190718,22,23,"Terra Incognita",-,-
515830,20190718,23,00,Pakrammel,-,-
